collegeId,collegeCode,departmentCode,departmentName
ENG0001,1,BY,BIO MEDICAL ENGINEERING (SS)
ENG0001,1,CE,CIVIL ENGINEERING
ENG0001,1,CM,COMPUTER SCIENCE AND ENGINEERING (SS)
ENG0001,1,CS,COMPUTER SCIENCE AND ENGINEERING
ENG0001,1,EC,ELECTRONICS AND COMMUNICATION ENGINEERING
ENG0001,1,EE,ELECTRICAL AND ELECTRONICS ENGINEERING
ENG0001,1,EL,Electronics Engineering (VLSI Design and Technology) (SS)
ENG0001,1,EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS)
ENG0001,1,GI,GEO INFORMATICS
ENG0001,1,IE,INDUSTRIAL ENGINEERING
ENG0001,1,IM,INFORMATION TECHNOLOGY (SS)
ENG0001,1,MA,MATERIAL SCIENCE AND ENGINEERING (SS)
ENG0001,1,ME,MECHANICAL ENGINEERING
ENG0001,1,MI,MINING ENGINEERING
ENG0001,1,MN,MANUFACTURING ENGINEERING
ENG0001,1,PT,PRINTING & PACKING TECHNOLOGY
ENG0001,1,XC,CIVIL ENGINEERING (TAMIL MEDIUM)
ENG0001,1,XM,MECHANICAL ENGINEERING (TAMIL MEDIUM)
ENG0002,2,AP,APPAREL TECHNOLOGY (SS)
ENG0002,2,CH,CHEMICAL ENGINEERING
ENG0002,2,CL,CHEMICAL ENGINEERING (SS)
ENG0002,2,CR,CERAMIC TECHNOLOGY (SS)
ENG0002,2,FS,FOOD TECHNOLOGY (SS)
ENG0002,2,IB,INDUSTRIAL BIO TECHNOLOGY
ENG0002,2,IS,INDUSTRIAL BIO TECHNOLOGY (SS)
ENG0002,2,LE,LEATHER TECHNOLOGY
ENG0002,2,PM,PHARMACEUTICAL TECHNOLOGY (SS)
ENG0002,2,PP,PETROLEUM ENGINEERING AND TECHNOLOGY (SS)
ENG0002,2,TX,TEXTILE TECHNOLOGY
ENG0003,3,BP,B.Plan
ENG0004,4,AE,AERONAUTICAL ENGINEERING
ENG0004,4,AT,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE (SS)
ENG0004,4,AU,AUTOMOBILE ENGINEERING
ENG0004,4,CM,COMPUTER SCIENCE AND ENGINEERING (SS)
ENG0004,4,CS,COMPUTER SCIENCE AND ENGINEERING
ENG0004,4,EC,ELECTRONICS AND COMMUNICATION ENGINEERING
ENG0004,4,EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING
ENG0004,4,EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS)
ENG0004,4,IM,INFORMATION TECHNOLOGY (SS)
ENG0004,4,PR,PRODUCTION ENGINEERING
ENG0004,4,RA,ROBOTICS AND AUTOMATION (SS)
ENG0004,4,RP,RUBBER AND PLASTIC TECHNOLOGY
ENG0005,5,AM,COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING)
ENG0005,5,CE,CIVIL ENGINEERING
ENG0005,5,CF,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE)
ENG0005,5,CH,CHEMICAL ENGINEERING
ENG0005,5,CS,COMPUTER SCIENCE AND ENGINEERING
ENG0005,5,CZ,CIVIL AND STRUCTUTURAL ENGINEERING
ENG0005,5,EC,ELECTRONICS AND COMMUNICATION ENGINEERING
ENG0005,5,EE,ELECTRICAL AND ELECTRONICS ENGINEERING
ENG0005,5,EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING
ENG0005,5,IT,INFORMATION TECHNOLOGY
ENG0005,5,ME,MECHANICAL ENGINEERING
ENG0005,5,MM,MECHANICAL ENGINEERING (MANUFACTURING)
ENG0006,1013,CS,COMPUTER SCIENCE AND ENGINEERING
ENG0006,1013,EC,ELECTRONICS AND COMMUNICATION ENGINEERING
ENG0006,1013,IT,INFORMATION TECHNOLOGY
ENG0006,1013,ME,MECHANICAL ENGINEERING
ENG0006,1013,SC,Computer Science and Engineering (Cyber Security)
ENG0006,1013,XM,MECHANICAL ENGINEERING (TAMIL MEDIUM)
ENG0007,1014,CE,CIVIL ENGINEERING
ENG0007,1014,CS,COMPUTER SCIENCE AND ENGINEERING
ENG0007,1014,EC,ELECTRONICS AND COMMUNICATION ENGINEERING
ENG0007,1014,EF,Electrical and Computer Engineering
ENG0007,1014,IT,INFORMATION TECHNOLOGY
ENG0007,1014,XC,CIVIL ENGINEERING (TAMIL MEDIUM)
ENG0008,1015,CS,COMPUTER SCIENCE AND ENGINEERING
ENG0008,1015,EC,ELECTRONICS AND COMMUNICATION ENGINEERING
ENG0008,1015,EE,ELECTRICAL AND ELECTRONICS ENGINEERING
ENG0008,1015,ME,MECHANICAL ENGINEERING
ENG0008,1015,XM,MECHANICAL ENGINEERING (TAMIL MEDIUM)
ENG0009,1026,CS,COMPUTER SCIENCE AND ENGINEERING
ENG0009,1026,EC,ELECTRONICS AND COMMUNICATION ENGINEERING
ENG0009,1026,EE,ELECTRICAL AND ELECTRONICS ENGINEERING
ENG0009,1026,ME,MECHANICAL ENGINEERING
ENG0009,1026,SC,Computer Science and Engineering (Cyber Security)
ENG0010,1101,AD,Artificial Intelligence and Data Science
ENG0010,1101,AM,COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING)
ENG0010,1101,CB,COMPUTER SCIENCE AND BUSSINESS SYSTEM
ENG0010,1101,CS,COMPUTER SCIENCE AND ENGINEERING
ENG0010,1101,EC,ELECTRONICS AND COMMUNICATION ENGINEERING
ENG0010,1101,EE,ELECTRICAL AND ELECTRONICS ENGINEERING
ENG0010,1101,IT,INFORMATION TECHNOLOGY
ENG0010,1101,ME,MECHANICAL ENGINEERING
ENG0010,1101,SC,Computer Science and Engineering (Cyber Security)
ENG0011,1102,AD,Artificial Intelligence and Data Science
ENG0011,1102,CE,CIVIL ENGINEERING
ENG0011,1102,CS,COMPUTER SCIENCE AND ENGINEERING
ENG0011,1102,EC,ELECTRONICS AND COMMUNICATION ENGINEERING
ENG0011,1102,EE,ELECTRICAL AND ELECTRONICS ENGINEERING
ENG0011,1102,IT,INFORMATION TECHNOLOGY
ENG0011,1102,ME,MECHANICAL ENGINEERING
ENG0012,1106,AE,AERONAUTICAL ENGINEERING
ENG0012,1106,AM,COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING)
ENG0012,1106,CB,COMPUTER SCIENCE AND BUSSINESS SYSTEM
ENG0012,1106,CE,CIVIL ENGINEERING
ENG0012,1106,CO,COMPUTER AND COMMUNICATION ENGINEERING
ENG0012,1106,CS,COMPUTER SCIENCE AND ENGINEERING
ENG0012,1106,EC,ELECTRONICS AND COMMUNICATION ENGINEERING
ENG0012,1106,EE,ELECTRICAL AND ELECTRONICS ENGINEERING
ENG0012,1106,EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING
ENG0012,1106,IT,INFORMATION TECHNOLOGY
ENG0012,1106,ME,MECHANICAL ENGINEERING
ENG0012,1106,RM,ROBOTICS AND AUTOMATION
ENG0012,1106,TX,TEXTILE TECHNOLOGY
ENG0013,1107,CS,COMPUTER SCIENCE AND ENGINEERING
ENG0013,1107,EC,ELECTRONICS AND COMMUNICATION ENGINEERING
ENG0013,1107,EE,ELECTRICAL AND ELECTRONICS ENGINEERING
ENG0013,1107,FD,FOOD TECHNOLOGY
ENG0013,1107,ME,MECHANICAL ENGINEERING
ENG0014,1110,AD,Artificial Intelligence and Data Science
ENG0014,1110,AM,COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING)
ENG0014,1110,BT,BIO TECHNOLOGY
ENG0014,1110,CB,COMPUTER SCIENCE AND BUSSINESS SYSTEM
ENG0014,1110,CS,COMPUTER SCIENCE AND ENGINEERING
ENG0014,1110,EC,ELECTRONICS AND COMMUNICATION ENGINEERING
ENG0014,1110,EE,ELECTRICAL AND ELECTRONICS ENGINEERING
ENG0014,1110,IT,INFORMATION TECHNOLOGY
ENG0014,1110,ME,MECHANICAL ENGINEERING
ENG0014,1110,SC,Computer Science and Engineering (Cyber Security)
ENG0015,1112,AL,Artificial Intelligence and Machine Learning
ENG0015,1112,CB,COMPUTER SCIENCE AND BUSSINESS SYSTEM
ENG0015,1112,CS,COMPUTER SCIENCE AND ENGINEERING
ENG0015,1112,EC,ELECTRONICS AND COMMUNICATION ENGINEERING
ENG0015,1112,IT,INFORMATION TECHNOLOGY
ENG0016,1113,AD,Artificial Intelligence and Data Science
ENG0016,1113,CB,COMPUTER SCIENCE AND BUSSINESS SYSTEM
ENG0016,1113,CD,COMPUTER SCIENCE AND DESIGN
ENG0016,1113,CE,CIVIL ENGINEERING
ENG0016,1113,CS,COMPUTER SCIENCE AND ENGINEERING
ENG0016,1113,EA,Electronics and Communication (Advanced Communication Technology)
ENG0016,1113,EC,ELECTRONICS AND COMMUNICATION ENGINEERING
ENG0016,1113,EE,ELECTRICAL AND ELECTRONICS ENGINEERING
ENG0016,1113,EV,Electronics Engineering (VLSI Design and Technology)
ENG0016,1113,IT,INFORMATION TECHNOLOGY
ENG0016,1113,ME,MECHANICAL ENGINEERING
ENG0017,1114,AD,Artificial Intelligence and Data Science
ENG0017,1114,AM,COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING)
ENG0017,1114,CB,COMPUTER SCIENCE AND BUSSINESS SYSTEM
ENG0017,1114,CE,CIVIL ENGINEERING
ENG0017,1114,CS,COMPUTER SCIENCE AND ENGINEERING
ENG0017,1114,EC,ELECTRONICS AND COMMUNICATION ENGINEERING
ENG0017,1114,EE,ELECTRICAL AND ELECTRONICS ENGINEERING
ENG0017,1114,EV,Electronics Engineering (VLSI Design and Technology)
ENG0017,1114,IT,INFORMATION TECHNOLOGY
ENG0017,1114,ME,MECHANICAL ENGINEERING
ENG0017,1114,SC,Computer Science and Engineering (Cyber Security)
ENG0018,1115,AD,Artificial Intelligence and Data Science
