collegeId,collegeCode,collegeName,district,university,collegeType,status
ENG0001,1,University Departments of Anna University Chennai - CEG Campus,,Anna University,Engineering,Active
ENG0002,2,University Departments of Anna University Chennai - ACT Campus,,Anna University,Engineering,Active
ENG0003,3,School of Architecture and Planning Anna University,,Anna University,Engineering,Active
ENG0004,4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,,Anna University,Engineering,Active
ENG0005,5,"Annamalai University Faculty of Engineering and Technology Annamalai nagar Chidambaram, Cuddalore District - 608002",,Anna University,Engineering,Active
ENG0006,1013,University College of Engineering Villupuram Kakuppam Villupuram District 605103,,Anna University,Engineering,Active
ENG0007,1014,University College of Engineering Tindivanam Melpakkam Tindivanam Villupuram District 604001,,Anna University,Engineering,Active
ENG0008,1015,University College of Engineering Arni Arni to Devikapuram Road Thatchur Arni Thiruvannamalai District 632326,,Anna University,Engineering,Active
ENG0009,1026,University College of Engineering Kancheepuram Ponnerikarai Campus NH4 Chennai-Bangalore Highway Karaipettai Village & Post Kancheepuram District 631552,,Anna University,Engineering,Active
ENG0010,1101,"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai-600055.",,Anna University,Engineering,Active
ENG0011,1102,"Bhajarang Engineering College, Ayathur Village, Veppampattu (R.S), Thiruvallur dist-602024.",,Anna University,Engineering,Active
ENG0012,1106,"Jaya Engineering College, Prakash Nagar, Thiruninravur, Thiruvallur District, Chennai-602024.",,Anna University,Engineering,Active
ENG0013,1107,"Jaya Institute of Technology, Kanchipadi, Thiruvallur-Thiruthani NH Road, Thiruvallur Taluk & District-631204.",,Anna University,Engineering,Active
ENG0014,1110,"Prathyusha Engineering College (Autonomous), Poonamallee- Tiruvallur High Road, Aranvoyalkuppam, Tiruvallur-602025.",,Anna University,Engineering,Active
ENG0015,1112,"R.M.D. Engineering College (Autonomous), R.S.M. Nagar, Gummidipoondi Taluk, Kavaraipettai, Thiruvallur-601206.",,Anna University,Engineering,Active
ENG0016,1113,"R.M.K. Engineering College (Autonomous), R.S.M. Nagar, Kavaraipettai, Gummidipoondi Taluk, Thiruvallur-601206.",,Anna University,Engineering,Active
ENG0017,1114,"S.A. Engineering College (Autonomous), Poonamallee- Avadi Road, Thiruverkadu Post, Tiruvallur, Chennai-600077.",,Anna University,Engineering,Active
ENG0018,1115,"SriRam Engineering College, Perumalpattu, Veppampattu R.S., Tiruvallur District, Chennai-602024.",,Anna University,Engineering,Active
ENG0019,1116,"Sri Venkateswara College of Engineering and Technology, Thirupachur, Thiruvallur Taluk & District-631203.",,Anna University,Engineering,Active
ENG0020,1118,"Vel Tech Multi Tech Dr Rangarajan Dr Sakunthala Engineering College (Autonomous), 42, Veltech Road, Avadi, Morai, Thiruvallur-600062.",,Anna University,Engineering,Active
ENG0021,1120,"Velammal Engineering College (Autonomous), Velammal Nagar, Ambattur-Redhills Road, Surapet, Thiruvallur, Chennai-600066.",,Anna University,Engineering,Active
ENG0022,1121,"Sri Venkateswara Institute of Science and Technology, Kolundhalur, Thiruvallur Taluk & District-631203.",,Anna University,Engineering,Active
ENG0023,1122,"Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College (Autonomous), No. 60, Veltech Road, Avadi, Morai, Thiruvallur-600062.",,Anna University,Engineering,Active
ENG0024,1123,"Gojan School of Business and Technology, 80-Feet Road, Edapalayam, Red Hills, Thiruvallur, Chennai-600052.",,Anna University,Engineering,Active
